employee_id,full_name,role,email,country,hired_at,active
1,Oliver Torres,Procurement,olivertorres20@sample.co,France,2019-10-18 14:27:51+00:00,1
2,Hugo Singh,Support,hugosingh7442@sample.co,United States,2025-06-09 11:58:51+00:00,1
3,Hugo Singh,Procurement,hugosingh7441@demo.org,United Kingdom,2024-12-10 02:06:00+00:00,1
4,Oliver Kowalski,Account Manager,oliverkowalski8331@mail.com,Spain,2023-04-22 03:12:16+00:00,1
5,José Martinez,Warehouse Ops,josmartinez2577@example.com,Brazil,2025-07-04 05:45:35+00:00,1
6,Amelia Davis,Procurement,ameliadavis3002@example.com,China,2023-05-11 00:39:14+00:00,1
7,Noah Ramirez,Account Manager,noahramirez8005@mail.com,Spain,2021-06-08 00:24:57+00:00,1
8,Leo Park,Account Manager,leopark4923@example.com,Poland,2022-08-25 18:20:06+00:00,1
9,Sofia Costa,Warehouse Ops,sofiacosta9096@example.com,Bolivia,2022-06-26 19:43:22+00:00,1
10,Charlotte Rossi,Finance,charlotterossi419@sample.co,Paraguay,2025-06-08 05:16:10+00:00,1
11,Daniela Singh,Sales Rep,danielasingh2391@example.com,Peru,2022-08-29 23:12:06+00:00,1
12,Ivy Silva,Finance,ivysilva6139@demo.org,Spain,2021-12-29 17:45:19+00:00,1
13,Ana Petrov,Account Manager,anapetrov138@company.net,Brazil,2021-08-20 15:46:12+00:00,1
14,Elijah Johnson,Finance,elijahjohnson5470@company.net,South Africa,2020-10-16 19:13:22+00:00,0
15,José Kowalski,Account Manager,joskowalski8754@sample.co,Italy,2020-05-09 23:11:04+00:00,1
16,Amelia Costa,Sales Rep,ameliacosta8595@company.net,Ecuador,2021-06-05 06:39:42+00:00,1
17,Ivy Jones,Account Manager,ivyjones9936@mail.com,United Arab Emirates,2022-12-01 18:49:47+00:00,1
18,Aarav Patel,Account Manager,aaravpatel2616@company.net,Germany,2022-09-01 05:07:45+00:00,1
19,Carlos Williams,Support,carloswilliams4359@example.com,Italy,2024-01-06 06:05:13+00:00,1
20,Chen Lopez,Sales Rep,chenlopez7737@example.com,South Africa,2021-01-13 04:42:57+00:00,1
21,Olivia Bianchi,Account Manager,oliviabianchi5228@example.com,Argentina,2022-03-19 09:50:34+00:00,1
22,Santiago Johnson,Sales Rep,santiagojohnson9735@sample.co,Colombia,2021-05-30 22:06:51+00:00,0
23,Isabella Davis,Account Manager,isabelladavis9455@company.net,Brazil,2023-02-22 06:36:14+00:00,1
24,Leo Williams,Procurement,leowilliams5046@example.com,India,2021-08-29 05:30:19+00:00,1
25,Jacob Davis,Finance,jacobdavis8733@sample.co,United Arab Emirates,2024-10-16 03:05:41+00:00,1
26,Lucas Brown,Support,lucasbrown976@demo.org,Italy,2020-09-14 21:07:32+00:00,1
27,Olivia Johnson,Warehouse Ops,oliviajohnson4134@mail.com,Canada,2024-11-14 22:01:15+00:00,1
28,Santiago Khan,Account Manager,santiagokhan1519@example.com,Bolivia,2025-02-27 10:55:29+00:00,1
29,Zoe Perez,Sales Rep,zoeperez1927@sample.co,United Kingdom,2020-01-23 13:18:46+00:00,1
30,Leo Kim,Support,leokim5280@demo.org,South Africa,2024-06-29 17:14:11+00:00,1
31,Luna Wang,Sales Rep,lunawang7858@sample.co,United Kingdom,2020-12-31 19:08:38+00:00,1
32,Leo Zhang,Procurement,leozhang8198@mail.com,South Africa,2023-04-22 19:16:24+00:00,1
33,Oliver Rodriguez,Warehouse Ops,oliverrodriguez7252@sample.co,United States,2021-12-18 09:21:27+00:00,1
34,Sofia Singh,Sales Rep,sofiasingh7476@mail.com,United States,2023-06-23 20:47:27+00:00,1
35,Valentina Kumar,Finance,valentinakumar1676@example.com,China,2022-01-21 08:03:54+00:00,1
36,María Flores,Support,maraflores4780@mail.com,Poland,2019-12-28 16:44:11+00:00,1
37,Aarav Park,Warehouse Ops,aaravpark3120@sample.co,Brazil,2021-12-09 07:35:00+00:00,1
38,Zoe Brown,Warehouse Ops,zoebrown4801@mail.com,United Kingdom,2024-11-16 19:53:47+00:00,1
